episode,reward,success,length
1,-0.1,0,1
2,-0.1,0,1
3,-0.1,0,1
4,-0.1,0,1
5,-0.06651198,1,2
6,0.2737462,1,1
7,-0.1,0,1
8,-0.1,0,1
9,-0.1,0,1
10,0.25578555,1,1
11,-0.1,0,1
12,-0.28604904,0,3
13,-0.1,0,1
14,-0.1,0,1
15,-0.1,0,1
16,0.2955657,1,1
17,0.26518866,1,1
18,-0.1,0,1
19,0.3015894,1,1
20,-0.1,0,1
21,-0.1,0,1
22,0.024412915,1,3
23,-0.1,0,1
24,0.13463809,1,1
25,-0.1,0,1
26,-0.1,0,1
27,0.17609464,1,1
28,0.321842,1,1
29,-0.1,0,1
30,0.26521203,1,1
31,0.16544354,1,1
32,-0.1,0,1
33,-0.16533747,0,2
34,-0.1,0,1
35,-0.1,0,1
36,0.2881438,1,1
37,0.2362244,1,1
38,-0.1,0,1
39,-0.019465402,1,3
40,-0.1,0,1
41,-0.1,0,1
42,-0.1,0,1
43,-0.1,0,1
44,-0.1,0,1
45,0.32564637,1,1
46,-0.1,0,1
47,-0.083054975,1,2
48,-0.1,0,1
49,-0.1,0,1
50,-0.1,0,1
51,-0.1,0,1
52,0.16632429,1,1
53,-0.1,0,1
54,-0.1,0,1
55,-0.1,0,1
56,-0.1,0,1
57,0.200784,1,1
58,-0.1,0,1
59,-0.1,0,1
60,-0.1,0,1
61,-0.1,0,1
62,-0.1,0,1
63,0.21799959,1,1
64,-0.1,0,1
65,0.22906487,1,1
66,-0.1,0,1
67,-0.1,0,1
68,-0.1,0,1
69,0.21451706,1,1
70,-0.1,0,1
71,0.12355544,1,1
72,-0.1,0,1
73,-0.1,0,1
74,0.20221956,1,1
75,-0.1,0,1
76,-0.1,0,1
77,-0.1,0,1
78,-0.1,0,1
79,-0.1,0,1
80,0.20807162,1,1
81,-0.1,0,1
82,0.22459526,1,1
83,-0.1,0,1
84,-0.1,0,1
85,0.25892282,1,1
86,-0.1,0,1
87,-0.1,0,1
88,-0.1,0,1
89,-0.1,0,1
90,-0.1,0,1
91,-0.1,0,1
92,0.19014677,1,1
93,-0.1,0,1
94,-0.1,0,1
95,-0.1,0,1
96,0.22041523,1,1
97,-0.1,0,1
98,-0.1,0,1
99,-0.1,0,1
100,-0.15942165,0,3
101,0.2736744,1,1
102,-0.1,0,1
103,-0.1,0,1
104,-0.1,0,1
105,-0.1,0,1
106,-0.1,0,1
107,-0.1,0,1
108,0.22233857,1,1
109,-0.1,0,1
110,-0.1,0,1
111,-0.1,0,1
112,-0.18172309,1,3
113,0.25766483,1,1
114,-0.1,0,1
115,0.14573926,1,1
116,-0.1,0,1
117,-0.1,0,1
118,-0.1,0,1
119,-0.1,0,1
120,-0.1,0,1
121,-0.061006863,1,2
122,0.19962291,1,1
123,-0.1,0,1
124,-0.1,0,1
125,-0.1,0,1
126,0.2279458,1,1
127,-0.1,0,1
128,-0.1,0,1
129,-0.1,0,1
130,0.21394561,1,1
131,0.1073621,1,1
132,-0.1,0,1
133,-0.1,0,1
134,-0.098379046,1,2
135,-0.1,0,1
136,0.2844231,1,1
137,0.18020515,1,1
138,-0.1,0,1
139,-0.1,0,1
140,-0.1,0,1
141,-0.12001387,0,2
142,-0.1,0,1
143,0.30666897,1,1
144,-0.19435942,0,3
145,-0.1,0,1
146,-0.1,0,1
147,-0.1,0,1
148,0.24728654,1,1
149,0.30124432,1,1
150,-0.1,0,1
151,0.14024685,1,1
152,-0.1,0,1
153,-0.1,0,1
154,0.22565742,1,1
155,-0.1,0,1
156,-0.1,0,1
157,-0.1,0,1
158,-0.1,0,1
159,-0.1,0,1
160,0.17101651,1,1
161,-0.09811664,1,3
162,-0.1,0,1
163,-0.1,0,1
164,-0.1,0,1
165,-0.1,0,1
166,-0.1,0,1
167,-0.1,0,1
168,-0.1,0,1
169,-0.1,0,1
170,-0.1,0,1
171,-0.1,0,1
172,-0.1,0,1
173,-0.1,0,1
174,0.26552644,1,1
175,-0.1,0,1
176,0.14688373,1,1
177,-0.1,0,1
178,-0.1,0,1
179,0.18908139,1,1
180,0.21491112,1,1
181,0.26532668,1,1
182,-0.1,0,1
183,-0.1,0,1
184,-0.1,0,1
185,-0.1,0,1
186,-0.1,0,1
187,-0.16155338,0,3
188,0.1123645,1,1
189,-0.1,0,1
190,-0.1,0,1
191,0.26879364,1,1
192,0.28822944,1,1
193,-0.1,0,1
194,-0.1,0,1
195,-0.1,0,1
196,-0.1672583,0,2
197,-0.1,0,1
198,0.2598179,1,1
199,-0.1,0,1
200,0.17608207,1,1
201,-0.15790187,0,2
202,-0.1,0,1
203,-0.1,0,1
204,-0.1,0,1
205,-0.1,0,1
206,-0.1,0,1
207,-0.1,0,1
208,0.21590704,1,1
209,-0.1,0,1
210,-0.1,0,1
211,-0.1,0,1
212,-0.1,0,1
213,-0.1,0,1
214,-0.1,0,1
215,-0.1,0,1
216,-0.1,0,1
217,-0.1,0,1
218,-0.1,0,1
219,-0.1,0,1
220,-0.1,0,1
221,-0.1,0,1
222,0.2432625,1,1
223,-0.1523355,0,3
224,-0.1,0,1
225,-0.1,0,1
226,-0.1,0,1
227,0.27354604,1,1
228,-0.1,0,1
229,-0.1,0,1
230,0.25412893,1,1
231,0.24498822,1,1
232,0.330323,1,1
233,0.20859084,1,1
234,-0.1,0,1
235,-0.1,0,1
236,0.27724272,1,1
237,0.28941354,1,1
238,-0.1,0,1
239,0.3644653,1,1
240,-0.1,0,1
241,-0.12328545,0,2
242,-0.1,0,1
243,-0.1,0,1
244,0.24831949,1,1
245,-0.1,0,1
246,-0.1,0,1
247,0.2560718,1,1
248,0.2098511,1,1
249,-0.1,0,1
250,0.18453911,1,1
251,0.19043711,1,1
252,-0.1,0,1
253,-0.1,0,1
254,0.35053653,1,1
255,0.15145914,1,1
256,-0.1,0,1
257,-0.19618782,1,5
258,-0.1,0,1
259,0.2471923,1,1
260,-0.1,0,1
261,-0.096947186,1,2
262,-0.1,0,1
263,-0.1,0,1
264,-0.1,0,1
265,-0.1,0,1
266,-0.1,0,1
267,-0.14392635,0,2
268,-0.1,0,1
269,-0.1,0,1
270,-0.1,0,1
271,-0.1,0,1
272,-0.1,0,1
273,-0.1,0,1
274,-0.1,0,1
275,-0.1,0,1
276,0.2779791,1,1
277,-0.1,0,1
278,-0.1,0,1
279,0.26356938,1,1
280,-0.1,0,1
281,0.19580975,1,1
282,-0.1,0,1
283,-0.1,0,1
284,-0.1,0,1
285,-0.1,0,1
286,0.2768608,1,1
287,-0.1,0,1
288,-0.1,0,1
289,-0.1,0,1
290,-0.1,0,1
291,-0.1,0,1
292,-0.1,0,1
293,-0.1,0,1
294,0.22944528,1,1
295,-0.1,0,1
296,-0.1,0,1
297,-0.1,0,1
298,0.25944468,1,1
299,0.26451123,1,1
300,-0.1,0,1
301,-0.1,0,1
302,-0.1,0,1
303,0.20491634,1,1
304,-0.1,0,1
305,0.23128866,1,1
306,-0.019301474,1,2
307,-0.1,0,1
308,0.2819918,1,1
309,-0.1,0,1
310,0.28594065,1,1
311,-0.1,0,1
312,-0.1,0,1
313,-0.1,0,1
314,-0.1,0,1
315,-0.1,0,1
316,-0.1,0,1
317,0.2512088,1,1
318,-0.1,0,1
