episode,reward,success,length
1,-0.1,0,1
2,0.3460758,1,1
3,0.3212232,1,1
4,0.3949951,1,1
5,0.4001163,1,1
6,-0.1,0,1
7,-0.1,0,1
8,0.3949468,1,1
9,0.2457902,1,1
10,0.42262554,1,1
11,-0.1,0,1
12,-0.1,0,1
13,0.47211918,1,1
14,0.4466909,1,1
15,-0.1,0,1
16,-0.1,0,1
17,-0.1,0,1
18,-0.1,0,1
19,-0.1,0,1
20,-0.1,0,1
21,-0.1,0,1
22,-0.1,0,1
23,-0.1,0,1
24,-0.1,0,1
25,-0.1,0,1
26,-0.1,0,1
27,-0.1,0,1
28,0.48088422,1,1
29,-0.1,0,1
30,-0.1,0,1
31,0.4004759,1,1
32,-0.1,0,1
33,0.33490443,1,1
34,-0.1,0,1
35,0.40233767,1,1
36,0.3466441,1,1
37,-0.1,0,1
38,-0.1,0,1
39,0.41884372,1,1
40,-0.1,0,1
41,-0.1,0,1
42,-0.1,0,1
43,-0.1,0,1
44,-0.1,0,1
45,-0.1,0,1
46,-0.1,0,1
47,0.36763847,1,1
48,-0.1,0,1
49,-0.1,0,1
50,-0.1,0,1
51,0.38473147,1,1
52,-0.1,0,1
53,0.49167874,1,1
54,-0.1,0,1
55,-0.1,0,1
56,-0.1,0,1
57,-0.1,0,1
58,0.4284202,1,1
59,-0.1,0,1
60,-0.1,0,1
61,-0.1,0,1
62,0.3946942,1,1
63,-0.1,0,1
64,-0.1,0,1
65,-0.1,0,1
66,0.39706528,1,1
67,-0.1,0,1
68,0.40822378,1,1
69,-0.1,0,1
70,0.41780883,1,1
71,-0.1,0,1
72,0.38108027,1,1
73,0.3592111,1,1
74,0.25046945,1,1
75,-0.1,0,1
76,-0.1,0,1
77,-0.1,0,1
78,-0.1,0,1
79,-0.1,0,1
80,-0.1,0,1
81,0.4572415,1,1
82,0.35444468,1,1
83,0.3786211,1,1
84,-0.1,0,1
85,0.35225746,1,1
86,0.30585262,1,1
87,-0.1,0,1
88,-0.1,0,1
89,-0.1,0,1
90,0.41568565,1,1
91,-0.1,0,1
92,-0.1,0,1
93,-0.1,0,1
94,-0.1,0,1
95,-0.1,0,1
96,-0.1,0,1
97,0.38274124,1,1
98,-0.1,0,1
99,-0.1,0,1
100,-0.1,0,1
101,-0.1,0,1
102,-0.1,0,1
103,-0.1,0,1
104,0.46987617,1,1
105,-0.1,0,1
106,-0.1,0,1
107,-0.1,0,1
108,-0.1,0,1
109,-0.1,0,1
110,-0.1,0,1
111,-0.1,0,1
112,-0.1,0,1
113,-0.1,0,1
114,-0.1,0,1
115,-0.1,0,1
116,-0.1,0,1
117,0.24060859,1,1
118,0.43000314,1,1
119,0.39911395,1,1
120,-0.1,0,1
121,-0.1,0,1
122,-0.1,0,1
123,0.36403257,1,1
124,-0.1,0,1
125,0.32822406,1,1
126,-0.1,0,1
127,0.3313445,1,1
128,-0.1,0,1
129,0.45153975,1,1
130,0.42081562,1,1
131,0.3955415,1,1
132,-0.1,0,1
133,0.31390858,1,1
134,0.42074814,1,1
135,-0.1,0,1
136,-0.1,0,1
137,-0.1,0,1
138,-0.1,0,1
139,0.43489,1,1
140,-0.1,0,1
141,0.36198324,1,1
142,0.4010092,1,1
143,0.16283812,1,1
144,-0.1,0,1
145,-0.1,0,1
146,0.21791033,1,1
147,0.35494307,1,1
148,0.32907018,1,1
149,-0.1,0,1
150,-0.1,0,1
151,-0.1,0,1
152,-0.1,0,1
153,0.44319543,1,1
154,-0.1,0,1
155,-0.1,0,1
156,-0.1,0,1
157,0.35403842,1,1
158,-0.1,0,1
159,-0.1,0,1
160,0.34820122,1,1
161,-0.1,0,1
162,0.36963642,1,1
163,0.27029505,1,1
164,-0.1,0,1
165,-0.1,0,1
166,-0.1,0,1
167,0.4629844,1,1
168,0.30500725,1,1
169,0.44280094,1,1
170,-0.1,0,1
171,-0.1,0,1
172,-0.1,0,1
173,0.3917475,1,1
174,-0.1,0,1
175,0.29817536,1,1
176,-0.1,0,1
177,0.48904926,1,1
178,-0.1,0,1
179,0.29942343,1,1
180,0.35229352,1,1
181,0.2222476,1,1
182,-0.1,0,1
183,-0.1,0,1
184,-0.1,0,1
185,0.35602403,1,1
186,0.34508392,1,1
187,-0.1,0,1
188,-0.1,0,1
189,-0.1,0,1
190,0.3871882,1,1
191,0.40029037,1,1
192,-0.1,0,1
193,0.39360008,1,1
194,-0.1,0,1
195,0.35602185,1,1
196,-0.1,0,1
197,-0.1,0,1
198,-0.1,0,1
199,-0.1,0,1
200,-0.1,0,1
201,-0.1,0,1
202,-0.1,0,1
203,-0.1,0,1
204,-0.1,0,1
205,0.3900513,1,1
206,0.45185018,1,1
207,0.27476686,1,1
208,0.43522194,1,1
209,0.43050912,1,1
210,0.36852184,1,1
211,0.36974266,1,1
212,0.23965842,1,1
213,-0.1,0,1
214,0.40811622,1,1
215,0.4836441,1,1
