episode,reward,success_rate
1,-0.1,0
2,0.5,1
3,1.0,1
4,-0.1,0
5,-0.1,0
6,1.0,1
7,-0.1,0
8,0.5,1
9,-0.1,0
10,-0.1,0
11,-0.1,0
12,1.0,1
13,-0.1,0
14,-0.1,0
15,0.5,1
16,-0.1,0
17,-0.1,0
18,0.5,1
19,-0.1,0
20,-0.1,0
21,0.5,1
22,-0.1,0
23,0.5,1
24,-0.1,0
25,-0.1,0
26,-0.1,0
27,-0.1,0
28,-0.1,0
29,-0.1,0
30,-0.1,0
31,-0.1,0
32,0.1,1
33,-0.1,0
34,-0.1,0
35,-0.1,0
36,-0.1,0
37,-0.1,0
38,-0.1,0
39,1.0,1
40,-0.1,0
41,-0.1,0
42,0.5,1
43,-0.1,0
44,0.5,1
45,-0.1,0
46,0.5,1
47,1.0,1
48,0.5,1
49,-0.1,0
50,0.5,1
51,-0.1,0
52,-0.1,0
53,-0.1,0
54,-0.1,0
55,-0.1,0
56,-0.1,0
57,0.1,1
58,-0.1,0
59,0.5,1
60,0.5,1
61,-0.1,0
62,0.5,1
63,-0.1,0
64,-0.1,0
65,1.0,1
66,-0.1,0
67,-0.1,0
68,-0.1,0
69,-0.1,0
70,-0.1,0
71,-0.1,0
72,-0.1,0
73,1.0,1
74,-0.1,0
75,-0.1,0
76,-0.1,0
77,0.5,1
78,-0.1,0
79,0.5,1
80,1.0,1
81,-0.1,0
82,-0.1,0
83,-0.1,0
84,-0.1,0
85,-0.1,0
86,-0.1,0
87,-0.1,0
88,-0.1,0
89,-0.1,0
90,1.0,1
91,-0.1,0
92,-0.1,0
93,1.0,1
94,-0.1,0
95,-0.1,0
96,-0.1,0
97,-0.1,0
98,-0.1,0
99,-0.1,0
100,-0.1,0
101,1.0,1
102,-0.1,0
103,0.1,1
104,0.5,1
105,0.5,1
106,-0.1,0
107,-0.1,0
108,-0.1,0
109,-0.1,0
110,-0.1,0
111,0.5,1
112,-0.1,0
113,0.5,1
114,-0.1,0
115,-0.1,0
116,-0.1,0
117,0.5,1
118,-0.1,0
119,-0.1,0
120,-0.1,0
121,1.0,1
122,-0.1,0
123,-0.1,0
124,-0.1,0
125,-0.1,0
126,-0.1,0
127,0.5,1
128,0.5,1
129,-0.1,0
130,-0.1,0
131,0.5,1
132,-0.1,0
133,0.5,1
134,-0.1,0
135,-0.1,0
136,-0.1,0
137,-0.1,0
138,0.5,1
139,0.5,1
140,0.1,1
141,-0.1,0
142,-0.1,0
143,0.5,1
144,-0.1,0
145,-0.1,0
146,-0.1,0
147,-0.1,0
148,-0.1,0
149,0.5,1
150,-0.1,0
151,0.1,1
152,-0.1,0
153,0.5,1
154,-0.1,0
155,-0.1,0
156,0.5,1
157,0.1,1
158,-0.1,0
159,-0.1,0
160,-0.1,0
161,-0.1,0
162,0.5,1
163,-0.1,0
164,0.5,1
165,-0.1,0
166,-0.1,0
167,-0.1,0
168,-0.1,0
169,-0.1,0
170,-0.1,0
171,-0.1,0
172,1.0,1
173,1.0,1
174,0.5,1
175,-0.1,0
176,0.5,1
177,-0.1,0
178,0.5,1
179,-0.1,0
180,1.0,1
181,-0.1,0
182,-0.1,0
183,0.5,1
184,-0.1,0
185,-0.1,0
186,-0.1,0
187,-0.1,0
188,0.5,1
189,-0.1,0
190,-0.1,0
191,-0.1,0
192,-0.1,0
193,0.5,1
194,-0.1,0
195,-0.1,0
196,-0.1,0
197,-0.1,0
198,1.0,1
199,0.5,1
200,-0.1,0
201,-0.1,0
202,0.5,1
203,-0.1,0
204,0.5,1
205,-0.1,0
206,-0.1,0
207,-0.1,0
208,-0.1,0
209,-0.1,0
210,-0.1,0
211,0.5,1
212,-0.1,0
213,0.5,1
214,1.0,1
215,0.5,1
216,1.0,1
