episode,reward,success,length
1,-0.3181095,0,6
2,-0.1,0,1
3,0.3846107,1,1
4,-0.1,0,1
5,0.56322485,1,1
6,-0.1,0,1
7,-0.1,0,1
8,0.36249796,1,1
9,-0.1,0,1
10,-0.1,0,1
11,-0.09676008,1,2
12,-0.1,0,1
13,-0.1,0,1
14,-0.1,0,1
15,-0.1,0,1
16,-0.1,0,1
17,-0.1,0,1
18,0.44440958,1,1
19,-0.1,0,1
20,-0.1,0,1
21,-0.24227858,1,5
22,0.52104515,1,1
23,0.5153424,1,1
24,0.49783537,1,1
25,-0.1,0,1
26,-0.1,0,1
27,-0.1,0,1
28,-0.1,0,1
29,-0.09795753,1,2
30,-0.046596415,1,5
31,-0.1,0,1
32,-0.1292443,0,2
33,-0.1,0,1
34,-0.1,0,1
35,-0.1,0,1
36,0.53451973,1,1
37,0.5007186,1,1
38,-0.22679162,0,3
39,-0.1,0,1
40,-0.1,0,1
41,-0.1,0,1
42,0.4877802,1,1
43,-0.07952202,1,3
44,-0.1,0,1
45,-0.1,0,1
46,-0.1,0,1
47,-0.1,0,1
48,-0.1,0,1
49,-0.1,0,1
50,-0.1,0,1
51,-0.1,0,1
52,-0.1,0,1
53,-0.1,0,1
54,-0.1,0,1
55,-0.1,0,1
56,-0.1,0,1
57,-0.1,0,1
58,-0.124905944,0,2
59,-0.1,0,1
60,-0.15337291,0,2
61,-0.1,0,1
62,-0.1,0,1
63,-0.1,0,1
64,-0.1,0,1
65,-0.1,0,1
66,-0.1,0,1
67,-0.13898304,0,2
68,-0.07020728,1,2
69,-0.1,0,1
70,-0.22417742,0,2
71,-0.11793056,0,2
72,-0.1,0,1
73,-0.1,0,1
74,-0.16897038,0,3
75,-0.1,0,1
76,-0.006657757,1,2
77,-0.1,0,1
78,-0.1,0,1
79,-0.1,0,1
80,-0.1,0,1
81,-0.1,0,1
82,0.45146722,1,2
83,-0.1,0,1
84,-0.1,0,1
85,-0.1,0,1
86,-0.1,0,1
87,-0.1,0,1
88,-0.1,0,1
89,-0.1,0,1
90,0.49785447,1,1
91,-0.1,0,1
92,-0.1,0,1
93,0.4024975,1,5
94,-0.1,0,1
95,-0.1,0,1
96,-0.12823825,0,2
97,-0.1,0,1
98,-0.07146782,1,2
99,0.49549738,1,1
100,0.48433223,1,1
101,-0.22862506,0,3
102,-0.1,0,1
103,-0.1,0,1
104,0.48496082,1,1
105,-0.1,0,1
106,0.5106282,1,1
107,-0.1,0,1
108,-0.1,0,1
109,0.39906392,1,1
110,-0.1,0,1
111,-0.1,0,1
112,-0.1,0,1
113,-0.1,0,1
114,-0.1,0,1
115,-0.049053088,1,2
116,-0.1,0,1
117,0.5820045,1,1
118,-0.1,0,1
119,0.46116236,1,1
120,0.01803933,1,3
121,-0.2444795,0,3
122,-0.1,0,1
123,-0.07974365,1,3
124,0.2183189,1,2
125,-0.1,0,1
126,-0.1,0,1
127,-0.1,0,1
128,0.51222044,1,1
129,-0.1,0,1
130,-0.1,0,1
131,-0.1,0,1
132,-0.1,0,1
133,-0.096299574,1,2
134,0.47123542,1,1
135,0.43145046,1,1
136,-0.1,0,1
137,-0.1,0,1
138,-0.1,0,1
139,-0.1,0,1
140,-0.1,0,1
141,-0.1,0,1
142,-0.1,0,1
143,-0.2174447,0,2
144,-0.16291077,0,2
145,0.4680322,1,1
146,0.46054655,1,1
147,-0.16384216,0,2
148,0.20127863,1,1
149,-0.1,0,1
150,-0.1,0,1
151,0.4663959,1,1
152,0.5424729,1,1
153,-0.1,0,1
154,-0.1,0,1
155,-0.1,0,1
156,0.3167598,1,1
157,-0.1,0,1
158,-0.1,0,1
159,-0.1,0,1
160,-0.1,0,1
161,0.5049567,1,1
162,0.48689643,1,1
163,-0.1,0,1
164,-0.1,0,1
165,0.5360576,1,1
166,0.35098603,1,2
167,-0.01698403,1,2
168,-0.1,0,1
169,-0.1,0,1
170,-0.03364475,1,2
171,-0.1,0,1
172,-0.1,0,1
173,-0.1,0,1
174,-0.039301433,1,2
175,-0.1,0,1
176,-0.1,0,1
177,-0.1,0,1
178,-0.1,0,1
179,-0.1,0,1
180,-0.032935143,1,2
181,-0.15696684,0,2
182,-0.1,0,1
183,0.5270823,1,1
184,-0.050177902,1,4
185,0.33109388,1,1
186,-0.1,0,1
187,0.52224284,1,1
188,-0.044069774,1,2
189,-0.1,0,1
190,-0.11587702,0,2
191,-0.1,0,1
192,0.55010396,1,1
193,-0.1,0,1
194,-0.1,0,1
195,-0.1,0,1
196,-0.1,0,1
197,-0.1,0,1
198,-0.1,0,1
199,0.5193468,1,1
200,-0.1,0,1
201,-0.1,0,1
202,-0.1,0,1
203,-0.025417373,1,2
204,-0.1,0,1
205,-0.1,0,1
206,0.47025496,1,1
207,-0.1,0,1
208,-0.1,0,1
209,-0.1,0,1
210,-0.1,0,1
211,-0.1,0,1
212,-0.1,0,1
213,-0.1,0,1
214,-0.1,0,1
215,-0.0960081,1,2
216,-0.1,0,1
217,-0.1,0,1
218,-0.09870253,1,2
219,0.39046684,1,1
220,0.41180146,1,1
221,-0.1,0,1
222,-0.1823034,0,2
223,-0.12502469,0,2
224,-0.14007124,0,2
225,-0.1,0,1
226,-0.1,0,1
227,-0.1,0,1
228,-0.1,0,1
229,0.3410461,1,3
230,-0.18801251,0,2
231,0.5435258,1,2
232,-0.1,0,1
233,-0.1,0,1
234,-0.054721586,1,2
235,-0.1,0,1
236,-0.1,0,1
237,-0.1,0,1
238,-0.1,0,1
239,-0.1,0,1
240,0.44968668,1,1
241,-0.1,0,1
242,-0.1,0,1
243,-0.1,0,1
244,-0.1,0,1
245,-0.1,0,1
246,-0.1,0,1
247,0.007666759,1,2
248,-0.1,0,1
249,-0.1,0,1
250,0.3986645,1,1
251,0.55029565,1,1
252,-0.1,0,1
253,0.47020364,1,2
254,0.46101114,1,1
255,0.46939343,1,1
256,0.0063125417,1,3
257,-0.1,0,1
258,-0.1,0,1
259,0.001316458,1,2
260,-0.1,0,1
261,-0.09298312,1,2
262,0.49739128,1,1
263,0.59169513,1,1
264,-0.13206485,0,2
265,-0.1,0,1
266,0.20228975,1,1
267,-0.1,0,1
268,-0.1,0,1
269,-0.1,0,1
270,-0.1,0,1
271,0.4763431,1,1
272,-0.11378898,0,2
273,-0.1,0,1
274,-0.13558227,0,2
275,-0.1,0,1
276,-0.1,0,1
277,-0.1,0,1
278,0.45794168,1,1
279,0.49994743,1,1
280,-0.1,0,1
281,-0.1,0,1
282,-0.1,0,1
283,-0.1,0,1
284,-0.1,0,1
285,-0.10920291,0,2
286,-0.1,0,1
287,0.31935742,1,1
288,-0.1,0,1
289,-0.1,0,1
290,0.2994182,1,1
291,0.4559032,1,1
292,-0.1,0,1
293,-0.1,0,1
294,-0.1,0,1
295,0.5287596,1,1
296,0.3986136,1,1
297,-0.17195931,0,2
298,-0.1,0,1
299,-0.11990453,0,2
300,0.31986094,1,1
301,-0.1,0,1
302,-0.1,0,1
303,0.45060113,1,1
304,-0.1,0,1
305,-0.1,0,1
306,-0.1,0,1
307,-0.1,0,1
308,-0.1,0,1
309,-0.1,0,1
310,-0.1,0,1
311,-0.1,0,1
312,-0.06078144,1,3
313,-0.1,0,1
314,0.64088494,1,1
315,0.33341026,1,1
316,-0.1,0,1
317,-0.1,0,1
318,-0.1,0,1
319,-0.1,0,1
320,-0.068627276,1,2
321,0.4414505,1,1
322,-0.0557724,1,3
323,-0.1,0,1
324,-0.09417274,1,2
325,-0.1,0,1
326,-0.1,0,1
327,-0.1,0,1
328,-0.17733017,0,2
329,0.30114505,1,1
330,-0.1,0,1
331,-0.1,0,1
332,-0.1,0,1
333,-0.009911142,1,5
334,-0.1,0,1
335,-0.1,0,1
336,-0.1,0,1
337,-0.1,0,1
338,-0.1,0,1
339,-0.1,0,1
340,0.5156574,1,1
341,0.019322403,1,2
342,-0.12918872,0,2
343,-0.1,0,1
344,0.5499465,1,1
345,0.52510947,1,1
346,-0.1,0,1
347,-0.1,0,1
348,0.016986616,1,2
349,-0.1,0,1
350,-0.1,0,1
351,-0.1,0,1
352,-0.08516389,1,4
353,-0.1,0,1
354,-0.1,0,1
355,-0.1,0,1
356,-0.10396997,0,2
357,-0.1,0,1
358,-0.13121061,1,3
359,0.530143,1,1
360,0.49785313,1,1
361,-0.1,0,1
362,0.57506615,1,1
363,-0.1,0,1
364,-0.1,0,1
365,-0.19916809,0,2
366,0.53515416,1,1
367,-0.03718953,1,2
368,0.023632817,1,2
369,-0.1,0,1
370,-0.1684912,0,2
371,-0.1,0,1
372,-0.1,0,1
373,-0.1,0,1
374,-0.1,0,1
375,-0.1,0,1
376,0.53442,1,1
377,-0.15288596,1,3
378,-0.1,0,1
379,-0.1,0,1
380,-0.1,0,1
381,-0.1,0,1
382,-0.1,0,1
383,0.58493394,1,1
384,-0.1,0,1
385,-0.1,0,1
386,0.47208038,1,1
387,-0.15881754,1,3
388,-0.1,0,1
389,0.44050223,1,1
390,-0.048243403,1,2
391,-0.1,0,1
392,-0.1,0,1
393,-0.1,0,1
394,-0.1,0,1
395,-0.1,0,1
396,-0.1,0,1
397,-0.1,0,1
398,-0.1,0,1
399,0.53800875,1,1
400,-0.1,0,1
401,-0.1,0,1
402,-0.1,0,1
403,-0.1,0,1
404,-0.05065348,1,3
405,-0.1,0,1
406,0.47871268,1,1
407,-0.07910117,1,2
408,-0.1,0,1
409,-0.1,0,1
410,0.50096744,1,1
411,0.4328643,1,2
412,-0.0072732493,1,2
413,-0.1,0,1
414,-0.1,0,1
415,-0.1,0,1
416,-0.13531095,0,2
417,-0.1,0,1
418,-0.1,0,1
419,-0.1,0,1
420,-0.07750886,1,2
421,-0.1,0,1
422,-0.1,0,1
423,-0.13954811,1,3
424,-0.1,0,1
425,-0.1,0,1
426,-0.1,0,1
427,-0.1,0,1
428,-0.1,0,1
429,0.0252833,1,2
430,0.5280785,1,1
431,0.54194903,1,1
432,-0.097069666,1,3
433,-0.1,0,1
434,-0.1,0,1
435,-0.1,0,1
436,0.4717719,1,1
437,-0.1,0,1
438,-0.1,0,1
439,-0.1,0,1
440,0.34492987,1,1
441,-0.1,0,1
442,-0.1,0,1
443,-0.1,0,1
444,-0.1,0,1
445,-0.068300664,1,2
446,-0.1,0,1
447,-0.019757621,1,2
448,-0.1,0,1
449,-0.1,0,1
450,-0.1,0,1
451,-0.1,0,1
452,-0.1,0,1
453,-0.1,0,1
454,-0.1,0,1
455,-0.1,0,1
456,-0.1,0,1
457,-0.1,0,1
458,-0.1,0,1
459,0.49273202,1,2
460,-0.1,0,1
461,-0.1,0,1
462,-0.1,0,1
463,-0.23187378,1,4
464,-0.1,0,1
465,-0.1,0,1
466,-0.1,0,1
467,-0.1,0,1
468,0.41224647,1,1
469,-0.1,0,1
470,-0.026220307,1,2
471,-0.13147607,0,2
472,0.2572005,1,1
473,-0.1,0,1
474,-0.1,0,1
475,-0.1,0,1
476,-0.1,0,1
477,0.010289356,1,2
478,-0.1,0,1
479,-0.1,0,1
480,-0.1,0,1
481,-0.1,0,1
482,-0.1,0,1
483,0.4132027,1,2
484,0.48995462,1,1
485,-0.1,0,1
486,-0.1,0,1
487,-0.1,0,1
488,-0.1,0,1
489,-0.1,0,1
490,0.5087309,1,1
491,-0.1,0,1
492,0.45984644,1,1
493,-0.1,0,1
494,-0.11617368,0,2
495,-0.1,0,1
496,-0.16931671,1,3
497,-0.1,0,1
498,-0.1,0,1
499,0.52862763,1,1
500,-0.1,0,1
501,-0.1,0,1
502,-0.1,0,1
503,-0.1,0,1
504,-0.1,0,1
505,-0.1,0,1
506,0.6666505,1,3
507,-0.14414783,0,2
508,0.5054353,1,1
509,0.35623,1,1
510,-0.1,0,1
511,-0.1,0,1
512,-0.1,0,1
513,0.52767706,1,1
514,-0.1,0,1
515,-0.1,0,1
516,-0.1,0,1
517,0.31797123,1,2
518,-0.1,0,1
519,-0.1,0,1
520,-0.1,0,1
521,-0.1,0,1
522,-0.1,0,1
523,-0.1,0,1
524,-0.10771726,0,2
525,-0.1,0,1
526,0.50324357,1,1
527,-0.12638919,0,2
528,-0.1,0,1
529,-0.1,0,1
530,-0.1,0,1
531,0.5484191,1,1
532,-0.044153906,1,2
533,-0.1,0,1
534,-0.1,0,1
535,0.4929121,1,1
536,-0.1,0,1
537,-0.1,0,1
538,-0.1,0,1
539,-0.1,0,1
540,0.4969493,1,3
541,-0.1,0,1
542,-0.1,0,1
543,-0.1,0,1
544,-0.1,0,1
545,-0.12194835,0,2
546,-0.1,0,1
547,0.49107516,1,1
548,-0.10971139,0,2
549,0.47945485,1,1
550,-0.1,0,1
551,-0.1,0,1
552,-0.1,0,1
553,0.39584154,1,2
554,-0.1454121,1,3
555,-0.1,0,1
556,-0.1,0,1
557,-0.1,0,1
558,-0.1,0,1
559,-0.12305007,0,2
560,-0.1,0,1
561,-0.06943949,1,2
562,-0.1,0,1
563,-0.1,0,1
564,-0.1,0,1
565,-0.1,0,1
566,-0.1,0,1
567,-0.1,0,1
568,-0.047387775,1,2
569,-0.1,0,1
570,-0.066387504,1,2
571,0.47242004,1,1
572,0.29940775,1,1
573,0.33875036,1,3
574,0.54516906,1,1
575,0.5038851,1,1
576,0.48000994,1,1
577,0.511926,1,1
578,0.4624415,1,2
579,-0.1,0,1
580,0.4425704,1,1
581,-0.114128806,0,2
582,-0.1,0,1
583,-0.1,0,1
584,0.42157412,1,2
585,-0.1,0,1
586,-0.1,0,1
587,-0.1,0,1
588,-0.06582829,1,4
589,-0.1,0,1
590,-0.035360284,1,2
591,-0.1,0,1
592,-0.1,0,1
593,-0.1,0,1
594,-0.1,0,1
595,-0.1,0,1
596,0.51189417,1,1
597,0.5349856,1,1
598,-0.1,0,1
599,-0.1,0,1
600,-0.14825574,1,4
601,0.53877866,1,1
602,-0.1,0,1
603,-0.1,0,1
604,0.51961684,1,1
605,0.5318638,1,1
606,0.32414553,1,1
607,-0.1,0,1
608,0.39783105,1,1
609,0.4194938,1,2
610,-0.1,0,1
611,-0.1,0,1
612,-0.1,0,1
613,-0.1,0,1
614,-0.1,0,1
615,-0.14466716,0,2
616,-0.1,0,1
617,0.5244789,1,1
618,-0.2301225,0,2
619,0.4622945,1,1
620,-0.08846404,1,2
621,0.05064463,1,2
622,-0.1,0,1
623,-0.1,0,1
624,-0.1,0,1
625,0.50404334,1,1
626,-0.14652367,0,3
627,0.40909994,1,1
628,0.45453063,1,1
629,-0.022602461,1,2
630,-0.1,0,1
631,-0.1,0,1
632,-0.1,0,1
633,-0.1,0,1
634,-0.1,0,1
635,0.06327274,1,2
636,-0.1,0,1
637,-0.1,0,1
638,-0.1,0,1
639,-0.1,0,1
640,-0.008366041,1,2
641,-0.03493125,1,4
642,-0.1,0,1
643,-0.1,0,1
644,-0.1,0,1
645,-0.1,0,1
646,0.45765224,1,1
647,-0.080358654,1,2
648,0.5138055,1,1
649,-0.1,0,1
650,-0.1,0,1
651,-0.1,0,1
652,0.5245557,1,1
653,-0.1,0,1
654,-0.10548471,1,3
655,-0.1,0,1
656,-0.1,0,1
657,-0.1,0,1
658,-0.1,0,1
659,-0.1,0,1
660,-0.1,0,1
661,0.4224549,1,1
662,-0.1,0,1
