episode,reward,success,length
1,-0.1,0,1
2,-0.1,0,1
3,1.1054881,1,1
4,-0.1,0,1
5,-0.048218314,1,2
6,-0.1,0,1
7,-0.1,0,1
8,-0.1,0,1
9,-0.16486394,0,2
10,-0.1,0,1
11,-0.1,0,1
12,-0.1,0,1
13,-0.1,0,1
14,1.0067145,1,1
15,-0.1,0,1
16,-0.1,0,1
17,1.0537993,1,1
18,1.1557019,1,1
19,1.1181285,1,1
20,-0.13389876,1,3
21,-0.1,0,1
22,-0.1,0,1
23,-0.1,0,1
24,-0.1,0,1
25,1.0629138,1,1
26,-0.1,0,1
27,-0.1,0,1
28,1.0989913,1,1
29,1.0611458,1,1
30,-0.1,0,1
31,1.065292,1,1
32,-0.1,0,1
33,0.64961094,1,1
34,-0.1,0,1
35,1.0931491,1,1
36,-0.1,0,1
37,1.2431619,1,1
38,-0.1,0,1
39,0.5703347,1,1
40,-0.1,0,1
41,-0.123497866,0,2
42,-0.1,0,1
43,1.0803738,1,1
44,1.0419047,1,1
45,-0.1730804,0,2
46,-0.1,0,1
47,1.1491742,1,1
48,-0.1,0,1
49,-0.1,0,1
50,-0.1,0,1
51,-0.1,0,1
52,-0.1,0,1
53,-0.1,0,1
54,1.1155977,1,1
55,-0.1,0,1
56,-0.1,0,1
57,-0.1,0,1
58,-0.1,0,1
59,1.1573082,1,1
60,-0.1,0,1
61,-0.1,0,1
62,-0.1,0,1
63,-0.1,0,1
64,0.0071509182,1,2
65,-0.1,0,1
66,1.1643851,1,1
67,-0.1,0,1
68,0.99473023,1,1
69,-0.1,0,1
70,-0.1,0,1
71,0.6177863,1,1
72,-0.1,0,1
73,-0.1,0,1
74,0.9723103,1,1
75,-0.08512926,1,2
76,-0.10754769,0,2
77,0.6976291,1,1
78,-0.1,0,1
79,1.031538,1,1
80,-0.20391494,0,3
81,-0.1,0,1
82,-0.1,0,1
83,-0.10484995,0,2
84,-0.1,0,1
85,-0.1,0,1
86,0.57864165,1,1
87,-0.1,0,1
88,1.0744399,1,1
89,-0.1,0,1
90,-0.1,0,1
91,-0.1,0,1
92,-0.1,0,1
93,-0.1,0,1
94,-0.1,0,1
95,1.0863316,1,1
96,-0.16681054,1,3
97,1.0314305,1,4
98,-0.1,0,1
99,-0.1,0,1
100,-0.1,0,1
101,-0.1,0,1
102,-0.1,0,1
103,-0.15791298,0,2
104,1.0745047,1,1
105,-0.1,0,1
106,-0.1,0,1
107,-0.1,0,1
108,-0.07415627,1,2
109,-0.1,0,1
110,-0.1,0,1
111,1.031282,1,1
112,1.1577305,1,1
113,-0.1,0,1
114,-0.1,0,1
115,-0.1,0,1
116,1.0112526,1,1
117,-0.17647979,0,2
118,-0.1,0,1
119,1.1182015,1,1
120,0.013387434,1,2
121,0.73192096,1,1
122,-0.1,0,1
123,1.1122198,1,1
124,-0.1,0,1
125,-0.1,0,1
126,-0.1,0,1
127,1.0502124,1,2
128,-0.1,0,1
129,-0.1,0,1
130,-0.1,0,1
131,-0.1,0,1
132,-0.1,0,1
133,-0.1,0,1
134,1.1262583,1,1
135,-0.1,0,1
136,0.7488138,1,1
137,1.1806581,1,1
138,-0.1,0,1
139,0.68296784,1,1
140,-0.16363698,0,2
141,-0.1,0,1
142,-0.1,0,1
143,-0.1,0,1
144,-0.1,0,1
145,-0.1,0,1
146,-0.1,0,1
147,-0.11976676,0,2
148,1.0815883,1,1
149,1.1762192,1,1
150,-0.1,0,1
151,-0.1,0,1
152,-0.1,0,1
153,1.0772994,1,1
154,-0.1,0,1
155,-0.21962966,0,4
156,-0.1,0,1
157,1.2115179,1,1
158,1.1516898,1,1
159,-0.09964036,1,2
160,0.5657214,1,1
161,-0.1,0,1
162,-0.1,0,1
163,-0.1,0,1
164,-0.1,0,1
165,-0.1,0,1
166,-0.1,0,1
167,-0.1,0,1
168,1.1077174,1,1
169,-0.1,0,1
170,0.6001895,1,1
171,-0.1,0,1
172,-0.1,0,1
173,0.98625493,1,1
174,-0.057210978,1,2
175,-0.1,0,1
176,-0.1,0,1
177,-0.1480503,0,3
178,-0.1,0,1
179,-0.1,0,1
180,1.0670811,1,1
181,1.0207185,1,3
182,-0.1,0,1
183,-0.1,0,1
184,-0.1,0,1
185,-0.1,0,1
186,-0.1,0,1
187,-0.1,0,1
188,-0.1,0,1
189,-0.1,0,1
190,-0.090290725,1,2
191,-0.1,0,1
192,1.1350633,1,2
193,-0.1,0,1
194,-0.1,0,1
195,-0.1,0,1
196,-0.1,0,1
197,1.1345743,1,1
198,-0.1,0,1
199,-0.1,0,1
200,-0.1,0,1
201,-0.1,0,1
202,-0.1,0,1
203,-0.1,0,1
204,-0.1,0,1
205,1.0122663,1,1
206,-0.10720824,0,2
207,-0.2280145,0,2
208,-0.1,0,1
209,-0.1,0,1
210,-0.1,0,1
211,0.95658857,1,2
212,-0.1,0,1
213,1.1282207,1,1
214,-0.0856077,1,2
215,1.0327657,1,2
216,1.1618084,1,1
217,-0.021536626,1,2
218,1.1359806,1,1
219,-0.1,0,1
220,-0.1,0,1
221,-0.1,0,1
222,0.6892583,1,1
223,-0.1,0,1
224,-0.1,0,1
225,-0.111807525,0,2
226,1.1695772,1,1
227,-0.1,0,1
228,-0.040720366,1,2
229,1.1127217,1,1
230,-0.1,0,1
231,-0.053870715,1,2
232,-0.1,0,1
233,-0.1,0,1
234,1.0288932,1,1
235,-0.1,0,1
236,-0.1,0,1
237,1.114002,1,1
238,-0.1,0,1
239,-0.1,0,1
240,-0.1,0,1
241,1.0899428,1,1
242,-0.1,0,1
243,-0.1,0,1
244,1.0158699,1,2
245,-0.13808104,0,3
246,-0.119184844,0,2
247,-0.1,0,1
248,-0.1,0,1
249,-0.1,0,1
250,1.0806234,1,1
251,1.084843,1,2
252,0.038034372,1,2
253,-0.1,0,1
254,-0.1,0,1
255,-0.1,0,1
256,-0.1,0,1
257,1.0742928,1,1
258,-0.074322924,1,2
259,0.60595703,1,1
260,-0.1,0,1
261,-0.1,0,1
262,1.1472647,1,3
263,-0.1,0,1
264,-0.031693064,1,2
265,-0.1,0,1
266,-0.1,0,1
267,-0.1,0,1
268,-0.054267198,1,3
269,-0.21434385,0,4
270,-0.1,0,1
271,-0.1,0,1
272,-0.1,0,1
273,-0.1,0,1
274,-0.1,0,1
275,-0.1,0,1
276,1.0603101,1,1
277,-0.1,0,1
278,-0.18074723,0,2
279,-0.1,0,1
280,1.0615613,1,1
281,-0.027958818,1,2
282,-0.1,0,1
283,-0.1,0,1
284,-0.1,0,1
285,0.5279346,1,1
286,-0.1,0,1
287,-0.1,0,1
288,-0.1,0,1
289,1.222514,1,1
290,-0.1,0,1
291,-0.1,0,1
292,0.60723495,1,1
293,-0.1,0,1
294,-0.1,0,1
295,-0.1,0,1
296,0.6311581,1,1
297,1.1886357,1,2
298,-0.1,0,1
299,1.1282234,1,1
300,-0.1,0,1
301,1.1953677,1,2
302,0.4936419,1,2
303,-0.1,0,1
304,0.989605,1,1
305,-0.1,0,1
306,1.0365378,1,1
307,-0.1,0,1
308,-0.1,0,1
309,-0.1,0,1
310,-0.1,0,1
311,-0.1,0,1
312,0.02139327,1,2
313,1.0502522,1,2
314,1.1521531,1,1
315,1.0540794,1,1
